Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
391,"1077 Botany Road, Mascot NSW 2020","Botany Road, Mascot, Sydney, Bayside Council, New South Wales, 2020, Australia",-33.9381494,151.194712,BP,141.9,155.9
399,"500 Willoughby Rd, Willoughby NSW 2068","Willoughby Road, Willoughby, Sydney, Willoughby City Council, Lower North Shore, New South Wales, 2068, Australia",-33.8036332,151.1995783,BP,141.9,163.9
408,"199 Great Western Highway, Katoomba NSW 2780","Great Western Highway, Katoomba, Sydney, Blue Mountains City Council, New South Wales, 2780, Australia",-33.7109271,150.3113102,BP,149.9,169.9
409,"340 Great Western Highway, Wentworth Falls NSW 2782","Great Western Highway, Wentworth Falls, Sydney, Blue Mountains City Council, New South Wales, 2782, Australia",-33.7101256,150.3685336,BP,148.9,172.9
413,"3 Carlton Cres, Summer Hill NSW 2130","3, Carlton Crescent, Summer Hill, Sydney, Inner West Council, Inner West, New South Wales, 2130, Australia",-33.8924487,151.1430787,BP,Not Selling U91    ,157.9
416,"120-128 Forrester Road, ST MARYS NSW 2760","Forrester Road, St Marys, Sydney, Penrith City Council, New South Wales, 2760, Australia",-33.7531437,150.7760991,BP,141.9,159.9
418,"368 Anzac Parade, Kingsford NSW 2032","Anzac Parade, Kingsford, Sydney, Randwick City Council, Eastern Suburbs, New South Wales, 2032, Australia",-33.9254417,151.2301049,BP,140.9,165.9
440,"62-70 Epping Rd, Lane Cove NSW 2066","Epping Road, Lane Cove North, Sydney, Lane Cove Municipal Council, Lower North Shore, New South Wales, 2066, Australia",-33.8114522,151.1674916,BP,137.9,159.9
464,"122 High St, GRETA NSW 2334","High Street, Greta, Cessnock City Council, New South Wales, 2334, Australia",-32.6774357,151.3887918,BP,156.7,174.7
472,"126 Windsor Rd, MCGRATHS HILL NSW 2756","Windsor Road, McGraths Hill, Sydney, Hawkesbury City Council, New South Wales, 2756, Australia",-33.6089534,150.8276048,BP,142.9,163.9
480,"403 Tarean Street, Karuah NSW 2324","Tarean Road, Karuah, Port Stephens Council, New South Wales, 2324, Australia",-32.6482605,151.915673,BP,149.9,177.9
