Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
1341,"110 Lane Cove Road, RYDE NSW 2112","110, Lane Cove Road, Ryde, Sydney, Council of the City of Ryde, New South Wales, 2112, Australia",-33.80145965,151.1137483,Caltex,171.9,192.9
1343,"172-174 Princes Hwy, ALBION PARK RAIL NSW 2527","Princes Highway, Albion Park Rail, Shellharbour City Council, New South Wales, 2527, Australia",-34.5611446,150.7959638,Caltex,Not Selling U91    ,Not Selling P98
1344,"56 Docker St, WAGGA WAGGA NSW 2650","Docker Street, Turvey Park, Wagga Wagga City Council, New South Wales, 2650, Australia",-35.1218388,147.355216,Caltex,Not Selling U91    ,Not Selling P98
1345,"Gwydir Hwy, South Grafton NSW 2460","Gwydir Highway, South Grafton, Grafton, Clarence Valley Council, New South Wales, 2460, Australia",-29.6954978,152.9142071,Caltex,Not Selling U91    ,Not Selling P98
1346,"136 Woodlark St, LISMORE NSW 2480","Woodlark Street, Lismore, Lismore City Council, New South Wales, 2480, Australia",-28.8071905,153.2783332,Caltex,Not Selling U91    ,Not Selling P98
1350,"159 IMLAY ST, EDEN NSW 2551","Imlay Street, Eden, Bega Valley Shire Council, New South Wales, 2551, Australia",-37.0607909,149.9037395,Caltex,Not Selling U91    ,Not Selling P98
1352,"179 PRINCE ST, GRAFTON NSW 2460","Prince Street, Grafton, Clarence Valley Council, New South Wales, 2460, Australia",-29.6884868,152.9357214,Caltex,Not Selling U91    ,Not Selling P98
1353,"16-18 Lake St, FORSTER NSW 2428","Lake Street, Forster, Mid-Coast Council, New South Wales, 2428, Australia",-32.2032824,152.5435335,Caltex,Not Selling U91    ,Not Selling P98
1354,"342 Kanahooka Road, BROWNSVILLE NSW 2530","Kanahooka Road, Brownsville, Wollongong City Council, New South Wales, 2530, Australia",-34.4880081,150.8089102,Caltex,Not Selling U91    ,Not Selling P98
1355,"170 FITZMAURICE ST, WAGGA WAGGA NSW 2650","Fitzmaurice Street, Wagga Wagga, Wagga Wagga City Council, New South Wales, 2650, Australia",-35.0999074,147.3668488,Caltex,Not Selling U91    ,Not Selling P98
1356,"54 Alice St, MOREE NSW 2400","Alice Street, Moree, Moree Plains Shire Council, New South Wales, 2400, Australia",-29.4711796,149.8431453,Caltex,Not Selling U91    ,Not Selling P98
1357,"352-360 Clarinda Street, PARKES NSW 2870","Clarinda Street, Parkes, Parkes Shire Council, New South Wales, 2870, Australia",-33.1290637,148.1734623,Caltex,Not Selling U91    ,Not Selling P98
1358,"73 Meninya St, MOAMA NSW 2731","Meninya Street, Moama, Murray River Council, New South Wales, 2731, Australia",-36.1074989,144.751913,Caltex,145.9,166.9
1359,"129 RIVER ST, WOODBURN NSW 2472","River Street, Woodburn, Richmond Valley Council, New South Wales, 2472, Australia",-29.0681174,153.3504522,Caltex,Not Selling U91    ,Not Selling P98
1361,"5 Tweed St, BRUNSWICK HEADS NSW 2483","Tweed Street, Brunswick Heads, Byron Shire Council, New South Wales, 2483, Australia",-28.5354733,153.5420392,Caltex,Not Selling U91    ,Not Selling P98
1362,"228 Comur Street, YASS NSW 2582","Comur Street, Yass, Yass Valley Council, New South Wales, 2582, Australia",-34.8445043,148.9133521,Caltex,Not Selling U91    ,Not Selling P98
1363,"1 Suraci Place, QUEANBEYAN WEST NSW 2620","Suraci Place, Queanbeyan West, Queanbeyan, Queanbeyan-Palerang Regional Council, New South Wales, 2620, Australia",-35.3634362,149.2069407,Caltex,Not Selling U91    ,Not Selling P98
1364,"265-267 Lake Albert Rd, KOORINGAL NSW 2650","Lake Albert Road, Kooringal, Wagga Wagga City Council, New South Wales, 2650, Australia",-35.1532265,147.3741231,Caltex,Not Selling U91    ,Not Selling P98
1365,"84 MacQuoid Street, QUEANBEYAN EAST NSW 2620","Macquoid Street, Queanbeyan East, Queanbeyan, Queanbeyan-Palerang Regional Council, New South Wales, 2620, Australia",-35.3508488,149.2414233,Caltex,Not Selling U91    ,Not Selling P98
1366,"119 Bourke Street, DUBBO NSW 2830","Bourke Street, North Dubbo, Dubbo, Dubbo Regional Council, New South Wales, 2830, Australia",-32.2340644,148.6112488,Caltex,Not Selling U91    ,Not Selling P98
1367,"662 Main Rd, EDGEWORTH NSW 2285","Main Road, Edgeworth, Lake Macquarie City Council, New South Wales, 2285, Australia",-32.9261822,151.6330583,Caltex,Not Selling U91    ,Not Selling P98
