,Address,Brand,Postcode,Price_DL,Price_DL_UpdatedDate,Price_E10,Price_E10_UpdatedDate,Price_E85,Price_E85_UpdatedDate,Price_LPG,Price_LPG_UpdatedDate,Price_P95,Price_P95_UpdatedDate,Price_P98,Price_P98_UpdatedDate,Price_PDL,Price_PDL_UpdatedDate,Price_U91,Price_U91_UpdatedDate,ServiceStationName,Suburb,latitude,longitude
143,"28 Sawtell Rd, TOORMINA NSW 2452",Independent,2452,139.9,05/01/2021 8:38,,,,,,,155.9,05/01/2021 8:38,,,,,142.9,05/01/2021 8:38,Vignes Independent Petroleum,TOORMINA,-30.3518263,153.0924474
147,"39 Vernon Street, Woollahra NSW 2025",BP,2025,,,157.9,05/01/2021 8:44,,,,,173.9,05/01/2021 8:44,182.9,05/01/2021 8:44,,,,,BP Woollahra,Woollahra,-33.8898307,151.2474543
148,"142 Windsor Rd, MCGRATHS HILL NSW 2756",7-Eleven,2756,,,139.9,05/01/2021 8:49,,,,,,,159.9,05/01/2021 8:49,,,141.9,05/01/2021 8:49,7-Eleven McGraths Hill,MCGRATHS HILL,-33.6089534,150.8276048
149,"88 - 92 Clinton Street, Goulburn NSW 2580",7-Eleven,2580,,,,,,,,,,,,,126.7,05/01/2021 8:49,,,7-Eleven Goulburn,Goulburn,-34.7559414,149.7119086
150,"588 HIGH ST, PENRITH NSW 2750",7-Eleven,2750,,,,,,,,,,,154.4,05/01/2021 8:49,,,,,7-Eleven Penrith,PENRITH,-33.7477938,150.6840081
151,"Lot 6 Luxford Road, Mount Druitt NSW 2770",7-Eleven,2770,,,136.7,05/01/2021 8:49,,,,,,,156.7,05/01/2021 8:49,,,138.7,05/01/2021 8:49,7-Eleven Mount Druitt,Mount Druitt,-33.764482,150.8193494
153,"71 Appin Road, Appin NSW 2560",Independent,2560,,,117.9,05/01/2021 8:51,,,,,,,,,,,,,Independent Appin,Appin,-34.1607483,150.7896035
154,"254-256 Shellharbour Rd, Barrack Heights NSW 2528",Enhance,2528,,,125.5,05/01/2021 8:51,,,,,,,147.5,05/01/2021 8:51,,,127.5,05/01/2021 8:51,Enhance Barrack Heights,Barrack Heights,-34.5651943,150.8602918
155,"588 HIGH ST, PENRITH NSW 2750",7-Eleven,2750,,,134.4,05/01/2021 8:53,,,,,,,,,,,136.4,05/01/2021 8:53,7-Eleven Penrith,PENRITH,-33.7477938,150.6840081
156,"120 ROCKY POINT RD, KOGARAH NSW 2217",Metro Fuel,2217,,,132.9,05/01/2021 8:53,,,,,149.9,05/01/2021 8:53,,,,,,,Metro Fuel Kogarah,KOGARAH,-33.972488,151.1363916
157,"96 HOXTON PARK RD, LURNEA NSW 2170",Metro Fuel,2170,,,126.9,05/01/2021 8:54,,,,,,,,,,,128.9,05/01/2021 8:54,Metro Petroleum,LURNEA,-33.927261,150.9052007
158,"53 Punchbowl Rd, Belfield NSW 2191",BP,2191,,,130.9,05/01/2021 8:54,,,,,145.9,05/01/2021 8:54,155.9,05/01/2021 8:54,,,,,BP Belfield,Belfield,-33.9039169,151.0813507
159,"2-14 Henry Lawson Dr, TERRANORA NSW 2486",Independent,2486,,,167.9,05/01/2021 8:55,,,,,,,191.9,05/01/2021 8:55,,,169.9,05/01/2021 8:55,Freedom Fuels Terranora,TERRANORA,-28.2351957,153.4983879
160,"531 Princes Hwy, TEMPE NSW 2044",Metro Fuel,2044,,,135.9,05/01/2021 8:57,,,,,,,155.9,05/01/2021 8:57,,,137.9,05/01/2021 8:57,Metro Tempe,TEMPE,-33.9279322,151.1579164
161,"444 West Botany Street, ROCKDALE NSW 2216",BP,2216,,,134.9,05/01/2021 8:58,,,,,,,,,,,136.9,05/01/2021 8:58,BP Rockdale,ROCKDALE,-33.953042,151.1479924
162,"472 CABRAMATTA RD, MOUNT PRITCHARD NSW 2170",Metro Fuel,2170,,,127.5,05/01/2021 9:00,,,,,,,147.5,05/01/2021 9:00,,,129.5,05/01/2021 9:00,Metro Mt Pritchard,MOUNT PRITCHARD,-33.8975835,150.9140913
163,"9-11 Roberts Road, Greenacre NSW 2190",Coles Express,2190,,,133.9,05/01/2021 9:00,,,,,150.9,05/01/2021 9:00,158.9,05/01/2021 9:00,,,135.9,05/01/2021 9:00,Coles Express Greenacre,Greenacre,-33.9019184,151.0647214
