Number,station,location,latitude,longitude,owner,Price_U91,Price_P98
64,"2 Princes Highway, St Peters NSW 2044","Princes Highway, St Peters, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.9178818,151.1711506,BP,Not Selling U91    ,162.9
65,"580-586 Parramatta Road, Croydon NSW 2132","Parramatta Road, Croydon, Sydney, Inner West, New South Wales, 2132, Australia",-33.8706982,151.116475,BP,Not Selling U91    ,170.9
68,"169 Willoughby Road, Naremburn NSW 2065","Willoughby Road, Naremburn, Sydney, Willoughby City Council, Lower North Shore, New South Wales, 2065, Australia",-33.8220909,151.2009398,BP,146.9,169.9
69,"339 Princes Highway, Sydenham NSW 2044","Princes Highway, Sydenham, Sydney, Inner West Council, Inner West, New South Wales, 2044, Australia",-33.918088,151.1707272,BP,139.9,162.9
70,"1/169 Annangrove Rd, Annangrove NSW 2156","Annangrove Road, Annangrove, Sydney, The Hills Shire Council, Hills District, New South Wales, 2156, Australia",-33.6688084,150.9519312,Budget,144.9,163.9
71,"313 Bobbin Head Road, NORTH TURRAMURRA NSW 2074","Bobbin Head Road, Turramurra, Sydney, Ku-ring-gai Council, Upper North Shore, New South Wales, 2074, Australia",-33.719537,151.1433998,Independent,146.9,167.9
72,"73 Ettalong Rd, Greystanes NSW 2145","Ettalong Road, Greystanes, Sydney, Cumberland City Council, New South Wales, 2145, Australia",-33.8135903,150.9520343,Metro Fuel,132.9,Not Selling P98
73,"36 Henderson Road, Alexandria NSW 2015","Alexandria Metro Petrolium, 36, Henderson Road, Macdonaldtown, Alexandria, Sydney, Council of the City of Sydney, New South Wales, 2015, Australia",-33.89746645,151.1973243,Metro Fuel,139.9,158.9
75,"275 Bay Street, Brighton-Le-Sands NSW 2216","Bay Street, Brighton-Le-Sands, Sydney, St George, New South Wales, 2216, Australia",-33.9570852,151.1472362,Budget,136.7,155.7
76,"2742 Bells Line of Road, BILPIN NSW 2758","Bells Line of Road, Bilpin, Hawkesbury City Council, New South Wales, 2758, Australia",-33.4970567,150.5141639,Metro Fuel,133.7,Not Selling P98
78,"236 Condamine Street, MANLY VALE NSW 2093","Caltex Manly Vale, 236-238, Condamine Street, Manly Vale, Sydney, Northern Beaches Council, Northern Beaches, New South Wales, 2093, Australia",-33.7851099,151.2673003,Caltex Woolworths,Not Selling U91    ,Not Selling P98
79,"641 King Georges Rd, PENSHURST NSW 2222","King Georges Road, Penshurst, Sydney, Georges River Council, St George, New South Wales, 2222, Australia",-33.9635286,151.0926271,Caltex Woolworths,Not Selling U91    ,159.7
80,"575-581 Great Western Highway, Faulconbridge NSW 2776","Shell Coles Express Faulconbridge, 575-581, Great Western Highway, Faulconbridge, Sydney, Blue Mountains City Council, New South Wales, 2776, Australia",-33.6941562,150.5373981,Coles Express,Not Selling U91    ,169.9
81,"144 Beaconsfield Street, MILPERRA NSW 2214","Beaconsfield Street, Milperra, Sydney, Canterbury-Bankstown Council, New South Wales, 2214, Australia",-33.9419342,150.9945173,Metro Fuel,131.7,149.7
82,"88 - 92 Clinton Street, Goulburn NSW 2580","Clinton Street, Goulburn, Goulburn Mulwaree Council, New South Wales, 2580, Australia",-34.7559414,149.7119086,7-Eleven,136.4,154.4
83,"861 Richmond Road, MARSDEN PARK NSW 2765","Richmond Road, Marsden Park, Sydney, Blacktown City Council, New South Wales, 2765, Australia",-33.6895593,150.8244864,7-Eleven,140.4,158.4
